id,description
https://s3.amazonaws.com/hackathonwie/basic_chemistry.mp4,"Study of structure determines their chemical composition and formula.  Study of properties includes physical and chemical properties, and  evaluation of chemical reactivity to understand their behavior. The study of  organic reactions includes the chemical synthesis of natural products,  drugs, and polymers, and study of individual organic molecules in the  laboratory and via theoretical in silico study.  

"
https://s3.amazonaws.com/hackathonwie/Basic_Science.mp4,"Organic chemistry is the chemistry subdiscipline for the scienti c study of  structure, properties, and reactions of organic compounds and organic  materials materials that contain carbon atoms . 1 Study of structure  determines their chemical composition and formula. Study of properties  includes physical and chemical properties, and evaluation of chemical  reactivity to understand their behavior. 

"
https://s3.amazonaws.com/hackathonwie/Cool_Science.mp4,"Chemical vapor deposition CVD is a deposition method used to produce high quality, high- performance, solid materials, typically under vacuum. The process is often used in the  semiconductor industry to produce thin lms. In typical CVD, the wafer substrate is exposed to one or more volatile precursors, which react  and or decompose on the substrate surface to produce the desired deposit. Frequently, volatile by- products are also produced, which are removed by gas ow through the reaction chamber. 

"
https://s3.amazonaws.com/hackathonwie/School_Science.mp4,"Chemical vapor deposition CVD is a deposition method used to produce high quality, high- performance, solid materials, typically under vacuum. The process is often used in the  semiconductor industry to produce thin lms. In typical CVD, the wafer substrate is exposed to one or more volatile precursors, which react  and or decompose on the substrate surface to produce the desired deposit. Frequently, volatile by- products are also produced, which are removed by gas ow through the reaction chamber. 

"
https://s3.amazonaws.com/hackathonwie/School_Organic.mp4,"Organic chemistry is the chemistry subdiscipline for the scienti c study of structure, properties, and  reactions of organic compounds and organic materials materials that contain carbon atoms . 1  Study of structure determines their chemical composition and formula. Study of properties includes  physical and chemical properties, and evaluation of chemical reactivity to understand their  behavior. The study of organic reactions includes the chemical synthesis of natural products,  drugs, and polymers, and study of individual organic molecules in the laboratory and via theoretical   in silico study. 

"
https://s3.amazonaws.com/hackathonwie/School_Organic_Fun.mp4,"Organic chemistry is the chemistry subdiscipline for the scienti c study of structure, properties, and  reactions of organic compounds and organic materials materials that contain carbon atoms . 1  Study of structure determines their chemical composition and formula. Study of properties includes  physical and chemical properties, and evaluation of chemical reactivity to understand their  behavior. The study of organic reactions includes the chemical synthesis of natural products,  drugs, and polymers, and study of individual organic molecules in the laboratory and via theoretical   in silico study. 

"
https://s3.amazonaws.com/hackathonwie/world_war_history.mp4,"By 1914, the European powers were divided into two coalitions the Triple  Entente, consisting of France, Russia and Britain and the Triple  Alliance of Germany, Austria-Hungary and Italy. The Triple Alliance was  primarily defensive in nature, allowing Italy to stay out of the war in 1914,  while many of the terms of both agreements were informal and contradicted  by others for example, Italy renewed the Triple Alliance in 1902 but secretly  agreed with France to remain neutral if it was attacked by Germany. 12 As the  war widened, the Entente added Italy, Japan and eventually the United  States to form the Allied Powers, while the Ottoman  Empire and Bulgaria joined Germany and Austria to create the Central Powers.  

"
https://s3.amazonaws.com/hackathonwie/sampleuseful10.mp4,"Road Not Taken by Robert Frost. Tipu Sultan, Baburm Akbar, Shah Jahan  

"
https://s3.amazonaws.com/hackathonwie/world_history_3.mp4,"Between 1908 and 1914, the Balkans had been destabilised by the  combination of a weakened Ottoman Empire, the 1912 1913 Balkan Wars and  competing Russian and Austro-Hungarian objectives. On 28 June 1914, Gavrilo  Princip, a Bosnian Serb Yugoslav nationalist, assassinated the Austro-Hungarian  heir Archduke Franz Ferdinand in Sarajevo, leading to a diplomatic crisis. On 23  July, Austria-Hungary issued an ultimatum to Serbia interlocking alliances  quickly drew in all the major European powers with their respective colonial  empires and the conflict rapidly spread across the globe.  

"
https://s3.amazonaws.com/hackathonwie/sampleuseful11.mp4,"Road Not Taken by Robert Frost. Tipu Sultan, Baburm Akbar, Shah Jahan  

"
https://s3.amazonaws.com/hackathonwie/flood_isro.mp4,"Flood is a devastating natural disaster experienced generally during  monsoon months due to torrential rainfall over different regions of India.  This not only leads to large impact on the socioeconomic life of the  country but also result in large-scale destruction of life and property.  Recent advancement in the eld of remote sensing has played an  important role in detection and monitoring of ood situations over the  affected regions which are approximately 40 Mha area in India. 

"
https://s3.amazonaws.com/hackathonwie/tipu_sultan.mp4,"Road Not Taken by Robert Frost. Tipu Sultan, Baburm Akbar, Shah Jahan  

"
